iter	Recall	CrossEntropy
312	0.4530374953	0.6588964481
313	0.4530641634	0.6588830027
314	0.4530641634	0.6588794239
315	0.4530374953	0.6588743628
316	0.4530641634	0.6588700723
317	0.4530641634	0.6588700722
318	0.4530641634	0.6588697951
319	0.4530641634	0.6588697949
320	0.4530108272	0.6588634986
321	0.4529574911	0.6588614994
322	0.4530641634	0.6588465642
323	0.4530908315	0.6588465641
324	0.453224172	0.6588356635
325	0.45325084	0.6588346421
326	0.4531708358	0.6588335262
327	0.4533308443	0.6588224452
328	0.4533308443	0.658821748
329	0.4534641848	0.6588068283
330	0.453837538	0.6587813853
331	0.453837538	0.6587813852
332	0.4538642061	0.6587809407
333	0.4538908742	0.6587807803
334	0.4538908742	0.6587807803
335	0.4538642061	0.6587804588
336	0.4538908742	0.6587757126
337	0.4538642061	0.6587752895
338	0.453837538	0.6587663291
339	0.4537308656	0.6587507588
340	0.4539175423	0.6587245334
341	0.4539175423	0.6587152305
342	0.4539175423	0.6587152256
343	0.4539442104	0.6586992116
344	0.4539442104	0.6586935503
345	0.4538642061	0.6586925341
346	0.4538642061	0.6586925341
347	0.453837538	0.6586899114
348	0.4539975465	0.658672379
349	0.4540242146	0.6586721676
350	0.4542908955	0.6586530772
351	0.4542375593	0.6586439797
352	0.4547709211	0.6586326021
353	0.4548242573	0.6586322759
354	0.4545842445	0.6586312553
355	0.4545309083	0.6586211137
356	0.4549575977	0.6586064156
357	0.455037602	0.6586041991
358	0.4549042616	0.6585974446
359	0.4549042616	0.6585974415
360	0.4547975892	0.6585936211
361	0.4547975892	0.6585936211
362	0.4548509254	0.6585832936
363	0.4548242573	0.658581662
364	0.4548242573	0.6585814145
365	0.4542642274	0.658560971
366	0.4543175636	0.658556684
367	0.4544775721	0.6585546244
368	0.4546909168	0.6585369991
369	0.4546909168	0.6585362296
370	0.4546909168	0.6585362295
371	0.4545042402	0.658529867
372	0.4545309083	0.6585298659
373	0.4545309083	0.6585293991
374	0.4546642488	0.6585209123
375	0.4551176063	0.6584712584
376	0.4552776148	0.6584543187
377	0.4553842872	0.6584449718
378	0.4552509467	0.658441784
379	0.4552242786	0.6584358339
380	0.4551176063	0.6584352784
381	0.4551442744	0.6584352784
382	0.4554109553	0.6584290659
383	0.4554642914	0.6584136233
384	0.4555176276	0.6584122393
385	0.4554642914	0.6584072843
386	0.4554376233	0.6584050893
387	0.4556509681	0.6584015036
388	0.4554642914	0.6583803225
389	0.4554642914	0.6583803225
390	0.4556776361	0.6583716491
391	0.4556776361	0.6583714789
392	0.4556243	0.6583689187
393	0.4556509681	0.6583599535
394	0.4556509681	0.6583599535
395	0.4559709851	0.6583428533
396	0.4558643128	0.6583358054
397	0.4558909809	0.6583236974
398	0.4558376447	0.6583208105
399	0.4560776575	0.6583059825
400	0.4560509894	0.6583034363
401	0.4559709851	0.6583032983
402	0.4559176489	0.6582990354
403	0.4560243213	0.658263594
404	0.4559976532	0.6582385509
405	0.4559709851	0.6582275137
406	0.4559976532	0.6582274589
407	0.4563443384	0.6582124127
408	0.4566110193	0.6581382537
409	0.4568510321	0.6581319552
410	0.4568777001	0.6581059146
411	0.4570110406	0.6580848853
412	0.4573577257	0.6580797661
413	0.4574110619	0.6580736499
414	0.4574110619	0.6580735798
415	0.458024428	0.6580381677
416	0.4579977599	0.6580273341
417	0.4578644194	0.6580270426
418	0.4578377513	0.6580269978
419	0.4582377727	0.6579740359
420	0.4581844365	0.6579694411
421	0.4583177769	0.6579587035
422	0.4585311217	0.6579452585
423	0.4584511174	0.6579237459
424	0.4588511387	0.6579069941
425	0.4588778068	0.6578906157
426	0.4587177983	0.657856031
427	0.4587978025	0.6578447887
428	0.458931143	0.657831911
429	0.4587711345	0.6578225128
430	0.4587711345	0.6578155282
431	0.4591444877	0.6577798456
432	0.4591444877	0.6577741498
433	0.4590911515	0.6577740842
434	0.4591711558	0.6577681922
435	0.4590911515	0.657724443
436	0.4592511601	0.6576928391
437	0.4594111686	0.6576715014
438	0.4596511814	0.6576454277
439	0.4598645261	0.6576327712
440	0.4598645261	0.6576222886
441	0.4599978666	0.6576035497
442	0.4599178623	0.6575735541
443	0.4601578751	0.6575535927
444	0.4602645474	0.657543719
445	0.4603178836	0.6575196495
446	0.4603445517	0.6575081518
447	0.4606379007	0.6574906647
448	0.460424556	0.6574816907
449	0.4605845645	0.6574706999
450	0.4606112326	0.6574600682
451	0.4606645688	0.6574438144
452	0.4614379434	0.6573853819
453	0.4613846072	0.657380398
454	0.4615446157	0.6573723904
455	0.4617846285	0.6573591744
456	0.4617046242	0.657342237
457	0.4621846498	0.6573297811
458	0.4623446584	0.6573195768
459	0.4624246626	0.6573107052
460	0.4625046669	0.6573039188
461	0.4626913435	0.6572737653
462	0.4627180116	0.6572617222
463	0.4628780202	0.65725131
464	0.4632247053	0.6572151499
465	0.4632247053	0.6571916303
466	0.4631713691	0.6571806237
467	0.4641580884	0.6571359648
468	0.4643447651	0.6571190854
469	0.4648781268	0.6570302001
470	0.4649847992	0.6569999549
471	0.4650648035	0.6569878973
472	0.4651448077	0.6569550461
473	0.4654914929	0.65692308
474	0.4655981652	0.6568962172
475	0.4658115099	0.6568798798
476	0.4655448291	0.6568432097
477	0.4656781695	0.6568242467
478	0.4659981866	0.6568100996
479	0.465838178	0.656779942
480	0.466131527	0.6567366876
481	0.4662381994	0.6567277088
482	0.4668515654	0.6566829241
483	0.4668248973	0.6566750275
484	0.4669582378	0.6566624181
485	0.4671982506	0.656653161
486	0.4668248973	0.6566411355
487	0.4668515654	0.6566233403
488	0.4669582378	0.6565988724
489	0.4669582378	0.656593236
490	0.4669315697	0.6565879455
491	0.4668248973	0.6565823056
492	0.4668782335	0.6565663552
493	0.4671182463	0.6565522445
494	0.4671182463	0.6565449153
495	0.4671715825	0.6565365103
496	0.4673582591	0.6565198759
497	0.4673849272	0.6565070292
498	0.4672249187	0.6564826452
499	0.4672782548	0.6564705285
500	0.4672249187	0.6564580721
501	0.4671449144	0.6564537002
502	0.4673582591	0.6564452077
503	0.4674115953	0.6564323785
504	0.468238306	0.6563849976
505	0.4681583018	0.656374002
506	0.4683183103	0.6563663163
507	0.4683983146	0.6563582501
508	0.4685049869	0.6563470719
509	0.4685583231	0.6563382915
510	0.4684783188	0.6563298037
511	0.4685849912	0.6563199583
512	0.468238306	0.656307359
513	0.4684783188	0.6562865654
514	0.4684516508	0.6562775694
515	0.4686649955	0.6562629641
516	0.4687983359	0.6562217816
517	0.4687716678	0.6562080888
518	0.4686116593	0.656190527
519	0.4690116806	0.6561604678
520	0.4692783615	0.6561442539
521	0.4692250253	0.6561366115
522	0.4691716892	0.6561218703
523	0.4689050083	0.6561060184
524	0.4691450211	0.6560830547
525	0.4690916849	0.6560749245
526	0.4690916849	0.6560642298
527	0.4692516934	0.6560523793
528	0.4694917062	0.656004223
529	0.4695983786	0.6559952986
530	0.4695183743	0.6559864677
531	0.469411702	0.6559671911
532	0.4693850339	0.6559556848
533	0.4694650381	0.6559516597
534	0.4695183743	0.6559419556
535	0.4694917062	0.6559324541
536	0.4693316977	0.6559278628
537	0.4693050296	0.65592421
538	0.4693850339	0.6559106958
539	0.4693316977	0.6559038682
540	0.4696250467	0.6558909622
541	0.4699183956	0.6558693005
542	0.4701584084	0.6558395339
543	0.4704784255	0.6558238953
544	0.4709051149	0.6558065861
545	0.4708784469	0.6557800682
546	0.4708517788	0.6557751891
547	0.4707184383	0.6557592583
548	0.4708784469	0.655736728
549	0.4707984426	0.6557315424
550	0.4707717745	0.6557286529
551	0.4708784469	0.6557174576
552	0.4708251107	0.6557027191
553	0.471225132	0.6556640535
554	0.4713318044	0.6556456029
555	0.4714118086	0.6556342971
556	0.4714651448	0.6556126751
557	0.4714918129	0.6555982512
558	0.4718651661	0.6555725622
559	0.4719718385	0.6555654813
560	0.4720785109	0.6555480787
